Companies,Guardsmens_100A,Guardsmens_100B,Guardsmens_100C,Spaces_Tactical,Spaces_Devastator,Spaces_Assault,Basilisk_15A,Predator_9A,Earthshaker_Company
HP,25.0,25.0,25.0,38.0,38.0,38.0,11.25,6.75,6.0
ORG,70,70,70,108.0,108.0,108.0,10,10,10
SoftAttack,3.0,3.0,3.3,6.61,8.87,1.57,48.9,10.3,31.2
HardAttack,0.0,0.0,0.37,1.62,3.93,0.14,1.65,3.6,1.2
SoftMeleeAttack,1.0,1.0,9.0,13.87,7.44,18.45,0.0,0.0,0.0
HardMeleeAttack,0.0,2.0,0.8,4.29,3.58,5.0,0.0,0.0,0.0
Defense,23.0,23.0,23.92,20.7,22.0,22.0,0.0,0.0,0.0
Breakthrought,2.3,2.3,2.19,2.32,2.19,3.25,0.0,0.0,0.0
Armor,0,0,0,2,2,2,5.33,11.33,10.0
Piercing,4.67,6.0,5.65,6.71,6.72,6.82,13.0,11.0,13.0
Hardness,0,0,0,0.1,0.1,0.1,0.33,0.9,0
